time,open,high,low,close,volume,prob_positive,prob_negative,prob_neutral,log_return,sentiment_score,sentiment_strength,sentiment_score_lag_1,sentiment_strength_lag_1,sentiment_score_lag_5,sentiment_strength_lag_5,sentiment_score_lag_10,sentiment_strength_lag_10,sentiment_score_lag_20,sentiment_strength_lag_20,close_shifted_5,target_up_5
2024-06-03,58.86,59.73,58.86,59.0,10555635,0.6157585710287095,0.1135147737339138,0.270726653933525,0.011420903140173234,0.5022437972947956,0.7292733447626233,-0.09880637501676878,0.5613137148320674,0.0449050217866898,0.21560128033161158,0.6747885388322176,0.8667148111077646,-0.07191764563322073,0.6529912725090978,58.86,0
2024-06-04,59.47,59.67,59.06,59.33,5455326,0.4446874260902405,0.1120570388933022,0.4432555337746938,0.005577636364832392,0.33263038719693827,0.5567444649835427,0.5022437972947956,0.7292733447626233,0.17534814774990076,0.6012088606754937,0.223226917286714,0.6082355851928392,0.06649244576692578,0.5454038456082342,58.33,0
2024-06-05,59.33,59.87,59.26,59.4,3772452,0.2967734187841415,0.2233132272958755,0.4799133539199829,0.0011791460980474181,0.07346019148826599,0.520086646080017,0.33263038719693827,0.5567444649835427,-0.9077259227633477,0.9424851015210151,-0.49335500411689287,0.7560571093112229,0.7302962616086007,0.7999985143542289,59.33,0
2024-06-06,59.47,60.0,59.4,59.53,6811460,0.4680248498916626,0.1643921891227364,0.3675829581916332,0.0021861607966995994,0.3036326607689262,0.632417039014399,0.07346019148826599,0.520086646080017,-0.6198644672986121,0.8169819826725869,0.014691084623336792,0.7309699952602386,0.4677044132258744,0.7461870631668716,59.13,0
2024-06-07,59.6,60.0,59.2,59.2,2262202,0.2651051618158817,0.4663042500615119,0.2685905769467353,-0.005558845275338713,-0.2011990882456302,0.7314094118773935,0.3036326607689262,0.632417039014399,-0.09880637501676878,0.5613137148320674,-0.6103239779671035,0.6976958190401394,0.6788628567010165,0.7930894624441861,58.53,0
2024-06-10,59.47,59.67,58.8,58.86,2643949,0.1293649971485138,0.3531872034072876,0.5174477696418762,-0.005759799084633307,-0.2238222062587738,0.4825522005558014,-0.2011990882456302,0.7314094118773935,0.5022437972947956,0.7292733447626233,0.0449050217866898,0.21560128033161158,-0.017319820821285303,0.2432741299271583,58.26,0
2024-06-11,59.06,59.13,58.26,58.33,2256534,0.0736690014600753,0.7320020198822021,0.1943289637565612,-0.009045202039780445,-0.6583330184221269,0.8056710213422774,-0.2238222062587738,0.4825522005558014,0.33263038719693827,0.5567444649835427,0.17534814774990076,0.6012088606754937,-0.6530616208910942,0.8028944805264473,57.93,0
2024-06-12,58.46,59.67,58.19,59.33,4502980,0.7967410981655121,0.0487210091669111,0.1545379143208265,0.01699853950500565,0.748020088998601,0.8454621073324232,-0.6583330184221269,0.8056710213422774,0.07346019148826599,0.520086646080017,-0.9077259227633477,0.9424851015210151,-0.47876918564240156,0.536308504641056,57.53,0
2024-06-13,59.47,59.6,59.13,59.13,1603414,0.091385118663311,0.5992288589477539,0.3093860149383545,-0.003376670437813237,-0.5078437402844429,0.6906139776110649,0.748020088998601,0.8454621073324232,0.3036326607689262,0.632417039014399,-0.6198644672986121,0.8169819826725869,-0.761684276163578,0.8846492990851402,57.19,0
2024-06-14,59.2,59.6,58.53,58.53,2484887,0.063725896179676,0.8072658777236938,0.1290082484483719,-0.010198966529608992,-0.7435399815440178,0.8709917739033699,-0.5078437402844429,0.6906139776110649,-0.2011990882456302,0.7314094118773935,-0.09880637501676878,0.5613137148320674,0.37570018600672483,0.7932660775259137,57.19,0
2024-06-17,58.6,58.73,58.26,58.26,9181124,0.1473531192168593,0.5092827491462231,0.3433641102164984,-0.004623691771841089,-0.3619296299293637,0.6566358683630824,-0.7435399815440178,0.8709917739033699,-0.2238222062587738,0.4825522005558014,0.5022437972947956,0.7292733447626233,0.6747885388322176,0.8667148111077646,57.59,0
2024-06-19,58.39,58.53,57.86,57.93,2176749,0.0615376718342304,0.7895680665969849,0.1488942801952362,-0.005680366422755754,-0.7280303947627544,0.8511057384312153,-0.3619296299293637,0.6566358683630824,-0.6583330184221269,0.8056710213422774,0.33263038719693827,0.5567444649835427,0.223226917286714,0.6082355851928392,59.0,1
2024-06-21,57.59,57.99,57.19,57.53,1809985,0.0222600623965263,0.896100640296936,0.08163932710886,-0.006928834233330649,-0.8738405779004097,0.9183607026934624,-0.7280303947627544,0.8511057384312153,0.748020088998601,0.8454621073324232,0.07346019148826599,0.520086646080017,-0.49335500411689287,0.7560571093112229,59.2,1
2024-06-24,57.53,58.46,57.19,57.19,2153682,0.0756562277674675,0.804566502571106,0.1197773143649101,-0.0059274929479773255,-0.7289102748036385,0.8802227303385735,-0.8738405779004097,0.9183607026934624,-0.5078437402844429,0.6906139776110649,0.3036326607689262,0.632417039014399,0.014691084623336792,0.7309699952602386,58.86,1
2024-06-25,57.32,57.99,57.19,57.19,4703337,0.1911382501324017,0.3252660334110259,0.483595718940099,0.0,-0.13412778327862418,0.5164042835434276,-0.7289102748036385,0.8802227303385735,-0.7435399815440178,0.8709917739033699,-0.2011990882456302,0.7314094118773935,-0.6103239779671035,0.6976958190401394,58.33,1
